VehicleID,Lane,Frame,Timestamp
644,1,3880,129.33
647,1,3884,129.47
630,2,3885,129.5
648,2,3887,129.57
639,1,3902,130.07
655,2,3904,130.13
652,1,3907,130.23
659,1,3915,130.5
637,1,3944,131.47
641,1,3952,131.73
665,1,3962,132.07
638,2,3986,132.87
670,2,4004,133.47
657,1,4034,134.47
673,1,4058,135.27
679,1,4062,135.4
684,2,4095,136.5
677,2,4098,136.6
687,1,4109,136.97
678,1,4126,137.53
695,1,4134,137.8
699,1,4144,138.13
680,1,4160,138.67
676,1,4164,138.8
701,3,4166,138.87
690,2,4181,139.37
710,2,4194,139.8
685,1,4198,139.93
696,1,4212,140.4
713,3,4227,140.9
702,1,4241,141.37
723,1,4244,141.47
726,1,4258,141.93
720,3,4258,141.93
731,2,4272,142.4
707,1,4274,142.47
732,1,4283,142.77
704,1,4313,143.77
740,1,4315,143.83
743,1,4338,144.6
745,1,4363,145.43
754,2,4382,146.07
709,2,4386,146.2
755,1,4421,147.37
764,3,4437,147.9
747,1,4498,149.93
763,2,4503,150.1
780,2,4513,150.43
781,2,4530,151.0
770,1,4607,153.57
785,2,4629,154.3
784,1,4645,154.83
792,1,4647,154.9
796,2,4650,155.0
797,1,4658,155.27
801,2,4677,155.9
783,1,4697,156.57
812,1,4714,157.13
708,2,4721,157.37
786,1,4736,157.87
811,3,4741,158.03
788,1,4765,158.83
823,1,4771,159.03
826,2,4788,159.6
809,1,4799,159.97
832,1,4803,160.1
828,3,4818,160.6
840,2,4834,161.13
837,1,4840,161.33
815,1,4841,161.37
834,2,4855,161.83
848,1,4871,162.37
821,2,4877,162.57
856,1,4903,163.43
858,1,4914,163.8
857,1,4935,164.5
855,1,4937,164.57
844,1,4979,165.97
874,1,4990,166.33
876,1,5003,166.77
843,2,5003,166.77
836,1,5006,166.87
883,2,5046,168.2
850,1,5053,168.43
875,1,5058,168.6
873,2,5069,168.97
847,2,5083,169.43
889,3,5090,169.67
890,1,5091,169.7
893,1,5098,169.93
860,1,5109,170.3
896,1,5116,170.53
901,2,5142,171.4
905,1,5154,171.8
908,1,5162,172.07
910,2,5168,172.27
799,2,5174,172.47
902,1,5186,172.87
900,1,5187,172.9
897,2,5265,175.5
932,2,5290,176.33
934,1,5299,176.63
927,1,5301,176.7
942,2,5356,178.53
947,1,5365,178.83
951,2,5383,179.43
948,1,5404,180.13
941,1,5404,180.13
950,3,5408,180.27
964,1,5434,181.13
879,2,5434,181.13
965,1,5441,181.37
966,2,5445,181.5
969,1,5466,182.2
976,1,5494,183.13
978,1,5511,183.7
967,2,5515,183.83
974,2,5533,184.43
963,1,5535,184.5
985,1,5541,184.7
988,1,5568,185.6
916,2,5576,185.87
993,2,5583,186.1
995,1,5606,186.87
998,1,5611,187.03
992,1,5651,188.37
1010,1,5663,188.77
918,1,5685,189.5
1013,3,5707,190.23
1000,1,5716,190.53
924,2,5723,190.77
1016,2,5724,190.8
1024,1,5742,191.4
1029,1,5756,191.87
1028,1,5756,191.87
1040,2,5813,193.77
1017,1,5824,194.13
1048,2,5841,194.7
1049,1,5842,194.73
1053,3,5858,195.27
1047,2,5858,195.27
968,2,5861,195.37
1037,1,5873,195.77
1060,1,5881,196.03
1064,1,5885,196.17
1061,3,5907,196.9
1046,1,5913,197.1
1034,1,5928,197.6
1076,1,5934,197.8
1075,3,5954,198.47
1086,1,5968,198.93
1051,1,5981,199.37
1082,2,5985,199.5
1069,1,6006,200.2
1096,1,6042,201.4
1087,1,6050,201.67
1068,2,6081,202.7
1104,1,6093,203.1
1117,1,6150,205.0
1114,2,6156,205.2
1125,1,6181,206.03
1128,2,6194,206.47
1107,1,6196,206.53
1130,1,6226,207.53
1119,2,6235,207.83
1134,2,6243,208.1
1093,1,6257,208.57
1141,1,6281,209.37
1154,1,6300,210.0
1144,2,6308,210.27
1151,1,6309,210.3
1118,2,6310,210.33
1088,1,6321,210.7
1161,1,6333,211.1
1157,3,6334,211.13
1159,1,6337,211.23
1171,1,6354,211.8
1163,1,6356,211.87
1170,1,6358,211.93
1174,1,6368,212.27
1182,1,6391,213.03
1173,3,6393,213.1
1184,2,6406,213.53
1185,3,6409,213.63
1165,1,6424,214.13
1135,1,6432,214.4
1189,2,6441,214.7
1192,1,6450,215.0
1191,1,6458,215.27
1167,1,6463,215.43
1195,1,6476,215.87
1197,1,6478,215.93
1198,1,6481,216.03
1179,1,6526,217.53
1183,1,6562,218.73
1207,2,6572,219.07
1206,3,6593,219.77
1041,2,6614,220.47
1217,2,6624,220.8
1213,2,6688,222.93
1216,2,6689,222.97
1230,2,6724,224.13
1233,1,6752,225.07
1218,1,6754,225.13
1203,1,6756,225.2
1235,1,6761,225.37
1225,2,6763,225.43
1237,2,6794,226.47
1239,2,6833,227.77
1240,3,6843,228.1
1246,2,6846,228.2
1249,1,6879,229.3
1245,1,6883,229.43
1251,1,6895,229.83
1247,2,6904,230.13
1227,2,6904,230.13
1254,1,6936,231.2
1258,1,6955,231.83
1244,2,6971,232.37
1257,2,6983,232.77
1259,1,7038,234.6
1264,1,7050,235.0
1242,2,7084,236.13
1267,2,7107,236.9
1268,1,7109,236.97
1271,1,7120,237.33
1272,1,7126,237.53
1276,2,7155,238.5
1270,2,7162,238.73
1279,1,7185,239.5
1261,2,7245,241.5
1278,1,7247,241.57
1289,2,7265,242.17
1277,1,7272,242.4
1288,3,7302,243.4
1297,2,7323,244.1
1280,1,7328,244.27
1300,1,7358,245.27
1303,1,7361,245.37
1298,3,7370,245.67
1307,1,7372,245.73
1309,3,7394,246.47
1316,2,7417,247.23
1314,1,7417,247.23
1317,1,7422,247.4
1306,1,7423,247.43
1313,3,7437,247.9
1320,1,7438,247.93
1326,2,7493,249.77
1305,1,7501,250.03
1328,2,7507,250.23
1333,1,7534,251.13
1336,1,7549,251.63
1339,1,7560,252.0
1329,1,7583,252.77
1347,1,7592,253.07
1348,1,7601,253.37
1345,1,7602,253.4
1353,1,7607,253.57
1343,2,7609,253.63
1283,2,7610,253.67
1338,1,7628,254.27
1351,3,7632,254.4
1358,1,7644,254.8
1356,1,7648,254.93
1361,1,7654,255.13
1367,2,7692,256.4
1350,1,7700,256.67
1369,1,7702,256.73
1375,1,7736,257.87
1378,1,7745,258.17
1379,1,7756,258.53
1357,1,7773,259.1
1389,1,7825,260.83
1376,1,7865,262.17
1393,2,7869,262.3
1399,1,7880,262.67
1400,2,7881,262.7
1398,1,7882,262.73
1403,1,7895,263.17
1407,1,7903,263.43
1404,1,7903,263.43
1387,1,7904,263.47
1408,1,7905,263.5
1402,3,7915,263.83
1410,2,7928,264.27
1383,1,7931,264.37
1390,1,7942,264.73
1419,1,7949,264.97
1368,2,7955,265.17
1423,1,7965,265.5
1426,1,7992,266.4
1431,1,8007,266.9
1424,1,8007,266.9
1432,1,8015,267.17
1435,1,8023,267.43
1436,1,8027,267.57
1421,1,8044,268.13
1442,1,8047,268.23
1437,2,8051,268.37
1443,2,8056,268.53
1444,1,8066,268.87
1447,2,8084,269.47
1456,1,8139,271.3
1450,1,8149,271.63
1458,1,8151,271.7
1420,2,8154,271.8
1460,2,8158,271.93
1466,1,8171,272.37
1459,1,8178,272.6
1467,1,8179,272.63
1468,2,8181,272.7
1469,2,8183,272.77
1472,1,8196,273.2
1465,2,8207,273.57
1485,2,8228,274.27
1484,1,8230,274.33
1488,1,8255,275.17
1500,1,8313,277.1
1503,1,8316,277.2
1508,1,8332,277.73
1502,1,8357,278.57
1486,2,8358,278.6
1512,1,8359,278.63
1514,1,8367,278.9
1515,1,8370,279.0
1519,2,8374,279.13
1520,1,8378,279.27
1523,1,8390,279.67
1517,2,8412,280.4
1529,2,8420,280.67
1499,1,8420,280.67
1530,1,8423,280.77
1504,1,8449,281.63
1510,1,8450,281.67
1497,2,8459,281.97
1539,1,8466,282.2
1540,1,8472,282.4
1544,1,8480,282.67
1545,2,8484,282.8
1547,1,8488,282.93
1548,2,8489,282.97
1549,1,8493,283.1
1542,1,8499,283.3
1550,1,8502,283.4
1546,2,8537,284.57
1538,1,8537,284.57
1561,1,8540,284.67
1563,2,8542,284.73
1565,1,8551,285.03
1564,2,8602,286.73
1537,1,8608,286.93
1570,1,8637,287.9
1571,1,8639,287.97
1558,1,8644,288.13
1568,2,8647,288.23
1574,1,8649,288.3
1576,2,8654,288.47
1577,1,8662,288.73
1581,2,8674,289.13
1585,2,8709,290.3
1591,1,8782,292.73
1590,3,8784,292.8
1567,2,8786,292.87
1593,1,8790,293.0
1594,1,8796,293.2
1595,2,8798,293.27
1601,1,8810,293.67
1603,1,8812,293.73
1584,1,8813,293.77
1605,1,8820,294.0
1610,2,8842,294.73
1606,1,8855,295.17
1614,1,8859,295.3
1620,1,8888,296.27
1611,1,8929,297.63
1626,1,8936,297.87
1629,1,8943,298.1
1631,1,8950,298.33
1617,1,8985,299.5
1637,1,8989,299.63
1609,2,9000,300.0
1638,2,9006,300.2
1632,1,9018,300.6
1643,1,9023,300.77
1625,1,9023,300.77
1644,2,9030,301.0
1646,1,9034,301.13
1650,1,9045,301.5
1648,3,9066,302.2
1666,2,9136,304.53
1668,1,9145,304.83
1671,1,9155,305.17
1676,1,9167,305.57
1659,1,9169,305.63
1678,1,9181,306.03
1673,3,9182,306.07
1679,2,9184,306.13
